scheme,budget,stratum,contrast,n_class_instances_n13,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_raw_n13,p_fdr_n13,n_class_instances_n12,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_raw_n12,p_fdr_n12,delta_shift,sign_flip,sig_change
S3_leave_dataset_out,10,5-20% (uncommon),geneformer - hvg_pca,60,-0.03798236999659148,-0.07187331024686734,-0.006970844510274992,0.060489486634613454,0.09898279631118564,52,-0.0399980996655316,-0.07852840432516453,-0.004537535399788461,0.11725741878370077,0.19187577619151033,-0.0020157296689401194,False,False
S3_leave_dataset_out,10,>20% (common),geneformer - hvg_pca,17,-0.10567775962707862,-0.18008303177378657,-0.032119216292027165,0.010986328125,0.0263671875,17,-0.10567775962707862,-0.18008303177378657,-0.032119216292027165,0.010986328125,0.028250558035714284,0.0,False,False
S3_leave_dataset_out,10,1-5% (rare),scgpt - hvg_pca,20,-0.04233657121181182,-0.0747874913287258,-0.014514918187842946,0.0072956085205078125,0.01876013619559152,19,-0.044291052097240775,-0.07687481561055001,-0.015548379872992507,0.00823211669921875,0.022796630859375,-0.001954480885428954,False,False
S3_leave_dataset_out,10,5-20% (uncommon),scgpt - hvg_pca,60,-0.020466642085354796,-0.048193262878570446,0.004659588829610192,0.7460057700658305,0.8006468380198759,52,-0.02707690664928527,-0.057927542052147486,9.849098407156465e-05,0.517896628355522,0.5826337068999623,-0.006610264563930473,False,False
S3_leave_dataset_out,10,>20% (common),scgpt - hvg_pca,17,-0.04832817308474459,-0.09970679849466008,0.004376305971663186,0.044769287109375,0.08592561192690595,17,-0.04832817308474459,-0.09970679849466008,0.004376305971663186,0.044769287109375,0.09480554917279412,0.0,False,False
S3_leave_dataset_out,all,1-5% (rare),geneformer - hvg_pca,20,-0.16768329888379366,-0.2885350013891637,-0.06739176924772831,0.0005855560302734375,0.00234222412109375,19,-0.1765037830630827,-0.3021601510922997,-0.07326533103088896,0.000644683837890625,0.0025787353515625,-0.008820484179289045,False,False
S3_leave_dataset_out,all,5-20% (uncommon),geneformer - hvg_pca,60,-0.09292350621295306,-0.12982453936273045,-0.056820169424573796,2.459895155434852e-06,1.7711245119130936e-05,52,-0.09166184108290547,-0.13171343216496867,-0.053274043911176114,3.556660156153243e-05,0.0002560795312430335,0.0012616651300475928,False,False
S3_leave_dataset_out,all,>20% (common),geneformer - hvg_pca,17,-0.11517411049223343,-0.2673580366943239,-0.0016035329377755674,0.1593780517578125,0.22950439453125002,17,-0.11517411049223343,-0.2673580366943239,-0.0016035329377755674,0.1593780517578125,0.24946129840353262,0.0,False,False
S3_leave_dataset_out,all,1-5% (rare),scgpt - hvg_pca,20,-0.17535775442948257,-0.28135478147051,-0.08166621466675925,0.0004825592041015625,0.0021715164184570312,19,-0.18684320235789437,-0.297898679652038,-0.09412018337345061,0.000209808349609375,0.0009613037109375,-0.011485447928411802,False,False
S3_leave_dataset_out,all,5-20% (uncommon),scgpt - hvg_pca,60,-0.051185394616067525,-0.08297035390123762,-0.021384548334627513,0.006747212202345499,0.01868458763726446,52,-0.04990286787324643,-0.08487321193787868,-0.017521935407356824,0.018339498247700026,0.04401479579448006,0.0012825267428210954,False,False
S3_leave_dataset_out,all,>20% (common),scgpt - hvg_pca,17,-0.07759967695032807,-0.14284014478041107,-0.030596580485226888,0.0013427734375,0.00439453125,17,-0.07759967695032807,-0.14284014478041107,-0.030596580485226888,0.0013427734375,0.004833984375,0.0,False,False
