representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,NSCLC_GSE127465,6000,12,0,0.6840256102320726,0.6840256102320726,0.6995
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,NSCLC_GSE131907,6007,10,0,0.6338134996439133,0.6338134996439133,0.6147827534543033
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,PAAD_GSE111672,453,7,0,0.7662054089928655,0.7662054089928655,0.6114790286975718
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,PAAD_GSE154778,2989,6,0,0.6061247041178012,0.6061247041178012,0.7072599531615925
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,3,70,10.0,5,70,768,3.17,0.66245325291027,0.66245325291027,STAD_GSE134520,1308,6,0,0.5363689870421714,0.5363689870421714,0.5045871559633027
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,BRCA_GSE161529,6000,10,0,0.6292823982499145,0.6292823982499145,0.658
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,BRCA_GSE176078,6000,9,0,0.5827796356507488,0.5827796356507488,0.5958333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.7459348472236262,0.7459348472236262,0.62119503945885
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,CRC_GSE108989,2184,3,0,0.7997478616483885,0.7997478616483885,0.8086080586080586
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,CRC_GSE146771_10X,6000,7,0,0.5626086492950844,0.5626086492950844,0.5956666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,HNSC_GSE103322,1176,8,0,0.3101679411194184,0.3101679411194184,0.14965986394557823
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,LIHC_GSE140228_10X,5999,9,0,0.7833017583012583,0.7833017583012583,0.785964327387898
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,LIHC_GSE98638,960,3,0,0.7284288369690554,0.7284288369690554,0.7270833333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,NSCLC_GSE127465,6000,12,0,0.7263852817960186,0.7263852817960186,0.7336666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,NSCLC_GSE131907,6007,10,0,0.7040570371410559,0.7040570371410559,0.6813717329781921
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,PAAD_GSE111672,453,7,0,0.7050882039644005,0.7050882039644005,0.8785871964679912
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,PAAD_GSE154778,2989,6,0,0.594105145619671,0.594105145619671,0.8347273335563734
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,5,4,70,0.1,5,70,768,3.37,0.702884386906976,0.702884386906976,STAD_GSE134520,1308,6,0,0.6002494637274561,0.6002494637274561,0.5940366972477065
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,BRCA_GSE161529,6000,10,0,0.7901146823786507,0.7901146823786507,0.78
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,BRCA_GSE176078,6000,9,0,0.7569918827084166,0.7569918827084166,0.7353333333333333
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.7489825112063524,0.7489825112063524,0.6403607666290868
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,CRC_GSE108989,2184,3,0,0.27925772613395566,0.27925772613395566,0.3108974358974359
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,CRC_GSE146771_10X,6000,7,0,0.749178216921796,0.749178216921796,0.6983333333333334
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,HNSC_GSE103322,1176,8,0,0.403358711229313,0.403358711229313,0.5892857142857143
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,LIHC_GSE140228_10X,5999,9,0,0.7216304832383755,0.7216304832383755,0.7327887981330222
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,LIHC_GSE98638,960,3,0,0.21888107736291587,0.21888107736291587,0.2604166666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,NSCLC_GSE127465,6000,12,0,0.7641719143592901,0.7641719143592901,0.8255
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,NSCLC_GSE131907,6007,10,0,0.7420385136331562,0.7420385136331562,0.7121691360079907
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,PAAD_GSE111672,453,7,0,0.7517635289299914,0.7517635289299914,0.8631346578366446
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,PAAD_GSE154778,2989,6,0,0.6739653022274666,0.6739653022274666,0.8668450986952158
