contrast,metric,n_datasets,delta_mean,delta_median,ci95_lo,ci95_hi,cohens_dz,wilcoxon_stat,p_raw,ttest_p,n_datasets_favouring_a,n_runs_a,n_runs_b,datasets,scheme,budget,hypothesis,p_fdr,significant_fdr_005,negligible_effect,verdict
scgpt - hvg_pca,macro_f1,13,0.05159210960106526,0.05371871760958824,0.03922075972239822,0.06310157615968905,2.2397133842093906,0.0,0.000244140625,3.4151467796385215e-06,13,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,all,H1,0.0017578124999999998,True,False,scFM better
scgpt - scvi,macro_f1,13,0.09223745578181594,0.08018647200261508,0.07627270756108777,0.11144885270881558,2.7162077234081012,0.0,0.000244140625,4.485275988612679e-07,13,25,10,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,all,H1,0.0017578124999999998,True,False,scFM better
scgpt - harmony,macro_f1,13,0.13718096904076937,0.12561530768676632,0.10926032809217609,0.1689672560941257,2.400313486827921,0.0,0.000244140625,1.6661306837522818e-06,13,25,10,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,all,H1,0.0017578124999999998,True,False,scFM better
geneformer - hvg_pca,macro_f1,13,0.05133610528546405,0.04799448448618426,0.04003367672530886,0.06321965797518955,2.2941835147873584,0.0,0.000244140625,2.6663528321744274e-06,13,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,all,H1,0.0017578124999999998,True,False,scFM better
geneformer - scvi,macro_f1,13,0.09198145146621473,0.07490400687753174,0.07118323037843838,0.11484980129139198,2.1946110053163728,0.0,0.000244140625,4.205694906795676e-06,13,25,10,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,all,H1,0.0017578124999999998,True,False,scFM better
geneformer - harmony,macro_f1,13,0.13692496472516819,0.12186978312974561,0.10788813137123286,0.1706319112443371,2.238196968728324,0.0,0.000244140625,3.4389716712613663e-06,13,25,10,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S1_within_dataset,all,H1,0.0017578124999999998,True,False,scFM better
scgpt - hvg_pca,macro_f1,13,-0.027805186077327175,0.0011462545629201681,-0.07468191120051995,0.014095852028910954,-0.32382047876949754,42.0,0.83935546875,0.2656635352435669,8,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S2_leave_donor_out,10,H2,0.8716383713942308,False,False,no detectable difference
scgpt - scvi,macro_f1,13,-0.03715289719968455,0.006185798315930469,-0.08378168036632379,0.00500979019631245,-0.4351437592133585,42.0,0.83935546875,0.14264304900691147,7,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S2_leave_donor_out,10,H2,0.8716383713942308,False,False,no detectable difference
scgpt - harmony,macro_f1,13,0.05449176686484089,0.08496285533384784,0.007245163197743409,0.09756788730405509,0.6343973486632254,14.0,0.026611328125,0.041128004460399825,9,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S2_leave_donor_out,10,H2,0.05748046875,False,False,no detectable difference
geneformer - hvg_pca,macro_f1,13,-0.016814127946366313,-0.007320486740477694,-0.052686479886599656,0.017759446956378874,-0.2489150459420182,35.0,0.497314453125,0.3871169712587637,5,25,25,BRCA_GSE161529;BRCA_GSE176078;CHOL_GSE125449_aPD1aPDL1aCTLA4;CRC_GSE108989;CRC_GSE146771_10X;HNSC_GSE103322;LIHC_GSE140228_10X;LIHC_GSE98638;NSCLC_GSE127465;NSCLC_GSE131907;PAAD_GSE111672;PAAD_GSE154778;STAD_GSE134520,S2_leave_donor_out,10,H2,0.6471079631024097,False,True,no detectable difference
