scheme,budget,contrast,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_fdr_n13,cohens_dz_n13,n_datasets_n13,n_datasets_favouring_a_n13,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_fdr_n12,cohens_dz_n12,n_datasets_n12,n_datasets_favouring_a_n12,delta_shift,sign_flip,sig_change
S2_leave_donor_out,25,geneformer - harmony,0.06684070100065881,0.046845003303235044,0.08824503063572259,0.002197265625,1.6656641761973805,13,12,0.06900675125280062,0.047616110345247514,0.09182311457535307,0.00439453125,1.678527294999074,12,11,0.00216605025214181,False,False
S2_leave_donor_out,25,scgpt - hvg_pca,-0.026927675054037373,-0.05600827317637201,-0.0007214635499417047,0.421875,-0.5063481839096965,13,6,-0.029712111691098494,-0.06030182696082512,-0.0020642027820676075,0.3233857996323529,-0.5447154512612767,12,5,-0.0027844366370611204,False,False
S2_leave_donor_out,25,scgpt - scvi,-0.01798941196721315,-0.03937135744667674,0.0005964716144960502,0.548366237331081,-0.4724651744227797,13,6,-0.020338246274340086,-0.042292464696384764,-0.0010302409754152865,0.4047920334507042,-0.5245530913465924,12,5,-0.002348834307126936,False,False
S2_leave_donor_out,25,scgpt - harmony,0.04543352937890122,0.01789369679504606,0.0719633580910373,0.021752929687500002,0.8865310149673834,13,10,0.044288506314843636,0.015356777305281302,0.07305411795820298,0.03955078125,0.8300953218819984,12,9,-0.0011450230640575876,False,False
S2_leave_donor_out,50,geneformer - hvg_pca,-0.009315231512592819,-0.026010809208251724,0.009309495131888354,0.4581298828125,-0.2722342686038224,13,4,-0.008164322840185432,-0.02641263364162502,0.011802021509966596,0.5582126524390244,-0.23014011456791744,12,4,0.0011509086724073875,False,False
S2_leave_donor_out,50,geneformer - scvi,0.007475438174012272,-0.0055229229255091255,0.02090088202808931,0.548366237331081,0.29108571283498197,13,8,0.0091406305731818,-0.004901802919499214,0.023301643500032974,0.4047920334507042,0.35048647026346974,12,8,0.0016651923991695275,False,False
S2_leave_donor_out,50,geneformer - harmony,0.06055056313340428,0.041217369956715634,0.08213027064889306,0.0017578124999999998,1.5333403522470448,13,13,0.06341609410221426,0.043319612662847395,0.08600155323106404,0.0035156249999999997,1.5930274864949667,12,12,0.0028655309688099748,False,False
S2_leave_donor_out,50,scgpt - hvg_pca,-0.03008632787252489,-0.05522337821939153,-0.0063882818820078045,0.09396306818181817,-0.6420154531443504,13,3,-0.032279236500925464,-0.05926710668479094,-0.007027753542263246,0.10076032366071429,-0.6690774975537871,12,3,-0.002192908628400575,False,False
S2_leave_donor_out,50,scgpt - scvi,-0.013295658185919797,-0.03229369039047901,0.003857108524105977,0.6471079631024097,-0.38289173579096697,13,6,-0.014974283087558235,-0.03524146988641999,0.003451255725529774,0.5200009889240507,-0.41929245983504215,12,5,-0.0016786249016384376,False,False
S2_leave_donor_out,50,scgpt - harmony,0.03977946677347221,0.01583641101359393,0.06288885161984518,0.021752929687500002,0.895581454742857,13,11,0.039301180441474216,0.01449399259139218,0.06443545463670751,0.03955078125,0.847783599766099,12,10,-0.000478286331997993,False,False
S2_leave_donor_out,100,geneformer - hvg_pca,-0.0012700724903433795,-0.01864177136779195,0.0171747394976459,0.8716383713942308,-0.0372391061261644,13,6,-0.0006912829787678506,-0.01918585717930063,0.01878917748992845,0.9268315153301887,-0.01944226365637648,12,6,0.0005787895115755289,False,False
