dataset,representation,scheme,budget,macro_f1,macro_f1_resample_sd,n_runs
BRCA_GSE176078,hvg_pca,S1_within_dataset,25,0.7629424877818005,0.023154977849946114,25
BRCA_GSE176078,scgpt,S1_within_dataset,25,0.7705815858487962,0.020864364690119472,25
BRCA_GSE176078,scvi,S1_within_dataset,25,0.7613951902154292,0.02073240057616028,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,geneformer,S1_within_dataset,25,0.7651902154601659,0.04668764947453489,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,harmony,S1_within_dataset,25,0.7179305634294544,0.015814040667535115,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,hvg_pca,S1_within_dataset,25,0.7952400645469485,0.03897654089627243,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scgpt,S1_within_dataset,25,0.8047211290516155,0.035770094988063966,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scvi,S1_within_dataset,25,0.7820403051030341,0.04714604826479426,25
CRC_GSE108989,geneformer,S1_within_dataset,25,0.7865665225409996,0.0400419226827751,25
CRC_GSE108989,harmony,S1_within_dataset,25,0.7178611748085779,0.04047865894888919,25
CRC_GSE108989,hvg_pca,S1_within_dataset,25,0.8178305698797851,0.03929405398821029,25
CRC_GSE108989,scgpt,S1_within_dataset,25,0.7194646040834389,0.04734775071399099,25
CRC_GSE108989,scvi,S1_within_dataset,25,0.7745120690118437,0.05414513758387072,25
CRC_GSE146771_10X,geneformer,S1_within_dataset,25,0.9012816600316339,0.023413419664635667,25
CRC_GSE146771_10X,harmony,S1_within_dataset,25,0.75017297505892,0.025725828835715035,25
CRC_GSE146771_10X,hvg_pca,S1_within_dataset,25,0.8663386225860683,0.021097797071516863,25
CRC_GSE146771_10X,scgpt,S1_within_dataset,25,0.8679563028093783,0.03399477269157115,25
CRC_GSE146771_10X,scvi,S1_within_dataset,25,0.8367215322646503,0.03481589971903511,25
HNSC_GSE103322,geneformer,S1_within_dataset,25,0.6879083427015489,0.09540119364422721,25
HNSC_GSE103322,harmony,S1_within_dataset,25,0.7234428742851636,0.0270575636500481,25
HNSC_GSE103322,hvg_pca,S1_within_dataset,25,0.8006626490656815,0.026476113563098636,25
HNSC_GSE103322,scgpt,S1_within_dataset,25,0.7125690907902973,0.07308044253626358,25
HNSC_GSE103322,scvi,S1_within_dataset,25,0.7760162273571464,0.05263695628835815,25
LIHC_GSE140228_10X,geneformer,S1_within_dataset,25,0.8012134715058365,0.024522417174753623,25
LIHC_GSE140228_10X,harmony,S1_within_dataset,25,0.7501860191209214,0.030612434213394452,25
LIHC_GSE140228_10X,hvg_pca,S1_within_dataset,25,0.7969474524444852,0.02923584488791979,25
LIHC_GSE140228_10X,scgpt,S1_within_dataset,25,0.7553358685758121,0.03477829163625796,25
LIHC_GSE140228_10X,scvi,S1_within_dataset,25,0.8030155752026218,0.024174862906729086,25
LIHC_GSE98638,geneformer,S1_within_dataset,25,0.7645362692943865,0.046491394282017096,25
LIHC_GSE98638,harmony,S1_within_dataset,25,0.6870389548525978,0.04146024838357676,25
LIHC_GSE98638,hvg_pca,S1_within_dataset,25,0.773579106812998,0.03690305692007149,25
LIHC_GSE98638,scgpt,S1_within_dataset,25,0.7134955171150517,0.05840493778258524,25
LIHC_GSE98638,scvi,S1_within_dataset,25,0.7188783851749253,0.05805031829135331,25
NSCLC_GSE127465,geneformer,S1_within_dataset,25,0.8143322365500093,0.016246418240096133,25
NSCLC_GSE127465,harmony,S1_within_dataset,25,0.7470135384579559,0.018100180065150715,25
NSCLC_GSE127465,hvg_pca,S1_within_dataset,25,0.8026440912415758,0.024531694453494016,25
NSCLC_GSE127465,scgpt,S1_within_dataset,25,0.805636540083483,0.018004065739973728,25
NSCLC_GSE127465,scvi,S1_within_dataset,25,0.7812474764785139,0.02265176606181804,25
NSCLC_GSE131907,geneformer,S1_within_dataset,25,0.7295254834936223,0.019263401572914035,25
NSCLC_GSE131907,harmony,S1_within_dataset,25,0.6633331013570456,0.017955716441277362,25
NSCLC_GSE131907,hvg_pca,S1_within_dataset,25,0.715090144733602,0.01808186617814167,25
NSCLC_GSE131907,scgpt,S1_within_dataset,25,0.7222252518368323,0.019193804301022785,25
NSCLC_GSE131907,scvi,S1_within_dataset,25,0.7074251954219157,0.02392991440499371,25
PAAD_GSE111672,geneformer,S1_within_dataset,25,0.6945572834941229,0.06486187843983152,25
PAAD_GSE111672,harmony,S1_within_dataset,25,0.5417126706285912,0.0512666516396735,25
PAAD_GSE111672,hvg_pca,S1_within_dataset,25,0.6839757514854393,0.0471875765832338,25
PAAD_GSE111672,scgpt,S1_within_dataset,25,0.6886992503820686,0.06523611490698233,25
PAAD_GSE111672,scvi,S1_within_dataset,25,0.7235159737514911,0.0675980238677519,25
PAAD_GSE154778,geneformer,S1_within_dataset,25,0.6132635864305187,0.046154152107448915,25
PAAD_GSE154778,harmony,S1_within_dataset,25,0.5146130547595207,0.02527829627311957,25
PAAD_GSE154778,hvg_pca,S1_within_dataset,25,0.6219280205187226,0.029942750780367396,25
PAAD_GSE154778,scgpt,S1_within_dataset,25,0.6147858633535603,0.038046867476406766,25
PAAD_GSE154778,scvi,S1_within_dataset,25,0.5948972587121609,0.03985305904766887,25
STAD_GSE134520,geneformer,S1_within_dataset,25,0.6683331933370147,0.0684469044139169,25
STAD_GSE134520,harmony,S1_within_dataset,25,0.6120164642051917,0.017302380683021347,25
STAD_GSE134520,hvg_pca,S1_within_dataset,25,0.7175078174943949,0.027275880089441172,25
STAD_GSE134520,scgpt,S1_within_dataset,25,0.7233037357384867,0.037197125204744566,25
STAD_GSE134520,scvi,S1_within_dataset,25,0.6978534470368557,0.034020671085115445,25
BRCA_GSE161529,geneformer,S1_within_dataset,50,0.7962894806832742,0.018404056448919386,25
BRCA_GSE161529,harmony,S1_within_dataset,50,0.6665301882920046,0.0139727390353862,25
BRCA_GSE161529,hvg_pca,S1_within_dataset,50,0.7356778636549735,0.02213407021153038,25
BRCA_GSE161529,scgpt,S1_within_dataset,50,0.7743338635613592,0.02015546659193665,25
BRCA_GSE161529,scvi,S1_within_dataset,50,0.7221755540218464,0.012805967447967137,25
BRCA_GSE176078,geneformer,S1_within_dataset,50,0.7712192411431321,0.01644685331717095,25
BRCA_GSE176078,harmony,S1_within_dataset,50,0.7138627095816992,0.012088372359658175,25
BRCA_GSE176078,hvg_pca,S1_within_dataset,50,0.7844243138147041,0.018359938984760824,25
BRCA_GSE176078,scgpt,S1_within_dataset,50,0.7956307873615951,0.015410533512077027,25
BRCA_GSE176078,scvi,S1_within_dataset,50,0.7730807572764112,0.01727193377626761,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,geneformer,S1_within_dataset,50,0.7814011039094918,0.03955446706044856,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,harmony,S1_within_dataset,50,0.746357698082417,0.018539563947146474,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,hvg_pca,S1_within_dataset,50,0.8130320109318656,0.028971611637059736,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scgpt,S1_within_dataset,50,0.8209600168390676,0.022832503431396107,25
