representation,scheme,budget,nominal,variant,score,coverage,coverage_gap,mean_set_size,empty_rate,singleton_rate,n_datasets
geneformer,S2_leave_donor_out,10,0.9,marginal,aps,0.8947812964489844,0.005218703551015678,5.302949839384971,0.06909671565885303,0.0783216722314861,13
geneformer,S2_leave_donor_out,10,0.9,marginal,inverse_softmax,0.8845941697865218,0.015405830213478291,1.9763013208522584,3.1599947648091055e-05,0.3952918008132975,13
geneformer,S2_leave_donor_out,10,0.9,mondrian,aps,0.8872863565274921,0.012713643472507972,5.242423839750767,0.030963106117324765,0.10176218213066902,13
geneformer,S2_leave_donor_out,10,0.9,mondrian,inverse_softmax,0.8799513245135067,0.02004867548649338,1.9950490148808522,0.0027226444468224638,0.3679181221374753,13
geneformer,S2_leave_donor_out,10,0.95,marginal,aps,0.9420366143879969,0.007963385612003129,6.809531448856584,0.0367751646404703,0.03979035637519276,13
geneformer,S2_leave_donor_out,10,0.95,marginal,inverse_softmax,0.9375881289421633,0.012411871057836699,2.957644340439392,0.0,0.22264375218828708,13
geneformer,S2_leave_donor_out,10,0.95,mondrian,aps,0.937620608069211,0.012379391930789036,6.375675834674055,0.013556387385895052,0.06238192514005696,13
geneformer,S2_leave_donor_out,10,0.95,mondrian,inverse_softmax,0.9352330924711165,0.014766907528883473,2.919816801588427,0.00013737757479873085,0.19585689761397188,13
geneformer,S2_leave_donor_out,100,0.8,marginal,aps,0.8216664874208638,-0.021666487420863766,4.274952379042303,0.14733243566266702,0.14420391710606614,13
geneformer,S2_leave_donor_out,100,0.8,marginal,inverse_softmax,0.7964805641576498,0.0035194358423503375,1.0433475179323446,0.017822805962634428,0.9214477480884008,13
geneformer,S2_leave_donor_out,100,0.8,mondrian,aps,0.8161515605641727,-0.016151560564172697,4.641791748711056,0.08312312408552644,0.14512060258889767,13
geneformer,S2_leave_donor_out,100,0.8,mondrian,inverse_softmax,0.7812480411627638,0.018751958837236196,1.0455872566072828,0.06945524977785202,0.8177560377247942,13
geneformer,S2_leave_donor_out,100,0.9,marginal,aps,0.908051707049315,-0.00805170704931512,5.838850050430645,0.07806668683035894,0.08214687636282568,13
geneformer,S2_leave_donor_out,100,0.9,marginal,inverse_softmax,0.8957345389832169,0.004265461016783193,1.408734267558759,7.537088514405802e-05,0.6592898058053198,13
geneformer,S2_leave_donor_out,100,0.9,mondrian,aps,0.9044950793295023,-0.004495079329502242,5.712749443861629,0.04054949563604367,0.10522446184902476,13
geneformer,S2_leave_donor_out,100,0.9,mondrian,inverse_softmax,0.8899741658888665,0.010025834111133506,1.4793510592225851,0.008779411415571316,0.5839297265023876,13
geneformer,S2_leave_donor_out,100,0.95,marginal,aps,0.9519373805689868,-0.0019373805689868186,7.195768726331613,0.040921102075241314,0.04902191545197065,13
geneformer,S2_leave_donor_out,100,0.95,marginal,inverse_softmax,0.950604153648576,-0.0006041536485760043,2.3847807228025326,0.0,0.4246283827355925,13
geneformer,S2_leave_donor_out,100,0.95,mondrian,aps,0.948922105353664,0.0010778946463360678,6.603210724802297,0.020364282802997638,0.07419874490954681,13
geneformer,S2_leave_donor_out,100,0.95,mondrian,inverse_softmax,0.9447157313449164,0.005284268655083547,2.2157595435729314,0.0003182143154491642,0.33065266950126454,13
geneformer,S2_leave_donor_out,all,0.8,marginal,aps,0.7613860775990425,0.03861392240095751,2.0571734210334625,0.20657578332113707,0.28866170998968876,13
geneformer,S2_leave_donor_out,all,0.8,marginal,inverse_softmax,0.8101696425924878,-0.010169642592487708,0.8853136151245512,0.11468638487544876,0.8853136151245512,13
geneformer,S2_leave_donor_out,all,0.8,mondrian,aps,0.7676686716429695,0.03233132835703052,2.293054263859757,0.14865298427185286,0.30491058117207276,13
geneformer,S2_leave_donor_out,all,0.8,mondrian,inverse_softmax,0.7887561418138009,0.01124385818619908,0.8913465268190255,0.11507431205968263,0.8785048490616093,13
geneformer,S2_leave_donor_out,all,0.9,marginal,aps,0.8917218590109753,0.00827814098902469,3.4161937313936597,0.09628126504089973,0.18469324882101507,13
geneformer,S2_leave_donor_out,all,0.9,marginal,inverse_softmax,0.9007680242021353,-0.0007680242021352718,1.0630115258858226,0.001640681106640998,0.9337115506243185,13
geneformer,S2_leave_donor_out,all,0.9,mondrian,aps,0.8698554224816556,0.030144577518344432,3.165078851588549,0.07666927257155186,0.22724367679133414,13
geneformer,S2_leave_donor_out,all,0.9,mondrian,inverse_softmax,0.88828600821688,0.01171399178311998,1.0938477609776933,0.02457698183423083,0.8585902019013871,13
geneformer,S2_leave_donor_out,all,0.95,marginal,aps,0.9505569250779858,-0.0005569250779858801,4.735784931763175,0.04557029763729673,0.09959666595988488,13
geneformer,S2_leave_donor_out,all,0.95,marginal,inverse_softmax,0.9488355694856586,0.0011644305143413529,1.242400592558594,0.0,0.774043771609998,13
geneformer,S2_leave_donor_out,all,0.95,mondrian,aps,0.9243995644280394,0.025600435571960643,3.9580340694776392,0.039462366604075844,0.16854049721901385,13
geneformer,S2_leave_donor_out,all,0.95,mondrian,inverse_softmax,0.942849560081632,0.007150439918368035,1.300711969512299,0.004659973201969134,0.7203624957679897,13
geneformer,S3_leave_dataset_out,10,0.8,marginal,aps,0.8028645552128318,-0.0028645552128318615,4.662520040016338,0.10488105544594926,0.10393975358432951,13
geneformer,S3_leave_dataset_out,10,0.8,marginal,inverse_softmax,0.7725858205039793,0.02741417949602085,2.0316502195381165,0.0013390661375410548,0.4377415704384101,13
geneformer,S3_leave_dataset_out,10,0.8,mondrian,aps,0.7716227074320994,0.02837729256790062,6.033859750587108,0.007744072421348118,0.025885132691400727,13
geneformer,S3_leave_dataset_out,10,0.8,mondrian,inverse_softmax,0.7340551926492076,0.06594480735079247,3.844090723529765,0.0013583646317065394,0.04270546439491788,13
geneformer,S3_leave_dataset_out,10,0.9,marginal,aps,0.8988285736757609,0.0011714263242392023,6.708375340066121,0.05011234933011644,0.051814391137809834,13
geneformer,S3_leave_dataset_out,10,0.9,marginal,inverse_softmax,0.8759675143418861,0.02403248565811387,3.635710419156105,1.3047067791717373e-05,0.21084405361292785,13
geneformer,S3_leave_dataset_out,10,0.9,mondrian,aps,0.8585029081742754,0.04149709182572455,7.081333957660065,0.004679476732608304,0.014061960209040388,13
geneformer,S3_leave_dataset_out,10,0.9,mondrian,inverse_softmax,0.8273199759271168,0.0726800240728832,4.5763799547442465,6.041367148463227e-05,0.026064599648087543,13
geneformer,S3_leave_dataset_out,10,0.95,marginal,aps,0.9477638168633521,0.002236183136647903,8.475286817609168,0.023012063021268035,0.0245966412265825,13
geneformer,S3_leave_dataset_out,10,0.95,marginal,inverse_softmax,0.9331264688212252,0.016873531178774683,5.724800304598238,5.1282051282051286e-08,0.10382171120658196,13
